county,date,measures,data_set_id
N/A,2016-03-31,"{""corrections_population"":236}",3
Wayne,2015-12-31,"{""corrections_population"":1362}",3
N/A,2015-06-30,"{""corrections_population"":140}",3
Erie,2016-05-31,"{""corrections_population"":2233}",3
Somerset,2016-04-30,"{""corrections_population"":1596}",3
Lycoming,2016-01-31,"{""corrections_population"":1427}",3
Schuylkill,2016-05-31,"{""corrections_population"":1159}",3
N/A,2016-07-31,"{""corrections_population"":74}",3
Centre,2015-11-30,"{""corrections_population"":2046}",3
N/A,2016-05-31,"{""corrections_population"":72}",3
Northumberland,2016-07-31,"{""corrections_population"":2293}",3
Schuylkill,2015-06-30,"{""corrections_population"":2473}",3
Lycoming,2015-11-30,"{""corrections_population"":1393}",3
Somerset,2016-02-29,"{""corrections_population"":2386}",3
Allegheny,2016-08-31,"{""corrections_population"":1784}",3
